City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lichtenburg,-26.152,26.1597,21.83,52.0,100.0,1.79,ZA,1611081605.0
padang,-0.9492,100.3543,23.0,94.0,20.0,1.03,ID,1611081605.0
ostrovnoy,68.0531,39.5131,-8.73,95.0,100.0,10.7,RU,1611081606.0
chuy,-33.6971,-53.4616,26.83,44.0,0.0,4.02,UY,1611081607.0
lodwar,3.1191,35.5973,30.4,24.0,36.0,3.74,KE,1611081607.0
atuona,-9.8,-139.0333,25.14,78.0,26.0,5.05,PF,1611081607.0
yellowknife,62.456,-114.3525,-10.0,85.0,90.0,6.69,CA,1611081405.0
tiarei,-17.5333,-149.3333,30.0,58.0,20.0,1.54,PF,1611081607.0
georgetown,5.4112,100.3354,26.0,83.0,40.0,1.03,MY,1611081518.0
sisimiut,66.9395,-53.6735,-2.79,82.0,100.0,3.85,GL,1611081607.0
iralaya,15.0,-83.2333,27.15,74.0,55.0,6.69,HN,1611081608.0
vostok,46.4856,135.8833,-29.99,86.0,5.0,2.21,RU,1611081608.0
enid,36.3956,-97.8784,6.0,52.0,40.0,7.2,US,1611081509.0
port alfred,-33.5906,26.891,20.0,95.0,28.0,2.68,ZA,1611081608.0
butaritari,3.0707,172.7902,26.87,82.0,89.0,8.59,KI,1611081608.0
bredasdorp,-34.5322,20.0403,19.0,68.0,76.0,5.66,ZA,1611081312.0
obo,5.3998,26.4869,24.13,25.0,33.0,2.19,CF,1611081608.0
nuuk,64.1835,-51.7216,0.0,59.0,75.0,0.51,GL,1611081608.0
hammerfest,70.6634,23.6821,-7.0,68.0,0.0,3.09,NO,1611081608.0
amethi,26.15,81.8167,15.29,68.0,0.0,3.22,IN,1611081608.0
portland,45.5234,-122.6762,7.22,87.0,75.0,2.57,US,1611081031.0
dikson,73.5069,80.5464,-29.78,88.0,90.0,4.3,RU,1611081613.0
grajewo,53.6473,22.4554,-11.28,96.0,99.0,4.74,PL,1611081614.0
miraflores,19.2167,-98.8083,21.0,32.0,40.0,1.1,MX,1611081614.0
tasiilaq,65.6145,-37.6368,-10.0,79.0,20.0,3.09,GL,1611081614.0
mackay,-21.15,149.2,22.0,94.0,40.0,2.57,AU,1611081614.0
longyearbyen,78.2186,15.6401,-7.0,58.0,75.0,6.17,SJ,1611081614.0
smithers,54.7804,-127.1743,2.0,93.0,75.0,3.09,CA,1611081537.0
bengkulu,-3.8004,102.2655,24.4,84.0,27.0,2.36,ID,1611081614.0
nanortalik,60.1432,-45.2371,-1.88,85.0,3.0,5.06,GL,1611081614.0
cherskiy,68.75,161.3,-40.12,81.0,100.0,2.93,RU,1611081614.0
sagarejo,41.734,45.3315,0.0,69.0,0.0,7.72,GE,1611081614.0
skjervoy,70.0311,20.9714,-6.0,73.0,20.0,3.09,NO,1611081614.0
new norfolk,-42.7826,147.0587,6.67,65.0,0.0,1.5,AU,1611081614.0
yining,29.0361,114.5636,6.1,61.0,0.0,0.72,CN,1611081615.0
kapaa,22.0752,-159.319,21.0,88.0,90.0,11.83,US,1611081615.0
zorritos,-3.6805,-80.6782,29.0,70.0,75.0,3.6,PE,1611081615.0
waw,7.7029,27.9953,24.92,19.0,0.0,2.4,SS,1611081615.0
sao joao da barra,-21.6403,-41.0511,31.0,51.0,0.0,9.26,BR,1611081381.0
lompoc,34.6391,-120.4579,15.56,81.0,1.0,0.69,US,1611081418.0
smolensk,55.0,33.0,-18.31,93.0,53.0,1.39,RU,1611081615.0
keningau,5.3378,116.1602,25.0,94.0,20.0,0.21,MY,1611081615.0
ende,-8.8432,121.6623,24.89,87.0,100.0,1.6,ID,1611081615.0
ponta do sol,32.6667,-17.1,15.56,64.0,99.0,1.79,PT,1611081615.0
eyl,7.9803,49.8164,24.4,69.0,12.0,7.74,SO,1611081616.0
jamestown,42.097,-79.2353,-1.67,80.0,90.0,7.2,US,1611081449.0
san patricio,28.017,-97.5169,24.0,69.0,90.0,11.32,US,1611081616.0
christchurch,-43.5333,172.6333,12.22,57.0,100.0,3.09,NZ,1611081364.0
yar-sale,66.8333,70.8333,-32.98,84.0,66.0,3.1,RU,1611081616.0
iwanai,42.9744,140.5089,-8.06,92.0,100.0,8.41,JP,1611081616.0
talnakh,69.4865,88.3972,-32.14,85.0,100.0,0.98,RU,1611081616.0
airai,-8.9266,125.4092,16.19,100.0,100.0,1.37,TL,1611081616.0
mariveles,14.4833,120.4833,25.56,73.0,20.0,3.09,PH,1611081616.0
itarema,-2.9248,-39.9167,28.88,66.0,100.0,7.48,BR,1611081617.0
arraial do cabo,-22.9661,-42.0278,33.0,58.0,0.0,6.69,BR,1611081323.0
bukoba,-1.3317,31.8122,21.0,88.0,75.0,0.58,TZ,1611081617.0
aklavik,68.2191,-135.0107,-18.0,85.0,75.0,7.2,CA,1611081617.0
reserva,-24.6503,-50.8506,21.38,99.0,100.0,1.22,BR,1611081617.0
yuancheng,36.652,107.7896,-3.26,66.0,0.0,1.87,CN,1611081617.0
shakiso,5.75,38.9167,16.6,35.0,32.0,1.46,ET,1611081617.0
neiafu,-18.65,-173.9833,24.0,94.0,40.0,3.54,TO,1611081617.0
kamaishi,39.2667,141.8833,-7.83,88.0,13.0,3.28,JP,1611081617.0
jibuti,11.5,42.5,25.0,69.0,1.0,1.54,DJ,1611081617.0
rehoboth,-23.3167,17.0833,27.08,35.0,100.0,5.11,NA,1611081617.0
inverness,57.4791,-4.224,-0.56,93.0,20.0,1.28,GB,1611081618.0
mahebourg,-20.4081,57.7,27.0,89.0,20.0,1.54,MU,1611081618.0
bara,10.3744,10.7288,24.03,19.0,0.0,4.26,NG,1611081618.0
safford,32.834,-109.7076,14.0,33.0,75.0,6.69,US,1611081618.0
stillwater,36.1156,-97.0584,7.0,53.0,20.0,4.63,US,1611081481.0
manta,-0.95,-80.7333,28.0,74.0,90.0,2.06,EC,1611081623.0
port macquarie,-31.4333,152.9167,18.89,97.0,100.0,4.94,AU,1611081623.0
tuatapere,-46.1333,167.6833,8.85,88.0,100.0,6.61,NZ,1611081623.0
tuktoyaktuk,69.4541,-133.0374,-20.0,77.0,75.0,7.2,CA,1611081623.0
tautira,-17.7333,-149.15,30.0,58.0,20.0,1.54,PF,1611081623.0
carauari,-4.8828,-66.8958,22.68,98.0,100.0,0.79,BR,1611081623.0
carnarvon,-24.8667,113.6333,25.0,94.0,90.0,7.2,AU,1611081624.0
santa maria,-29.6842,-53.8069,28.0,44.0,0.0,6.69,BR,1611081408.0
vence,43.7216,7.1123,8.0,81.0,0.0,4.12,FR,1611081624.0
saint-philippe,-21.3585,55.7679,28.0,74.0,75.0,1.54,RE,1611081624.0
mehamn,71.0357,27.8492,-4.0,93.0,90.0,9.26,NO,1611081624.0
bathsheba,13.2167,-59.5167,28.0,65.0,40.0,10.8,BB,1611081624.0
labuhan,-6.8844,112.2051,24.39,90.0,100.0,2.67,ID,1611081624.0
cockburn town,21.4612,-71.1419,28.0,65.0,75.0,5.14,TC,1611081624.0
marquette,46.5333,-87.6335,-8.33,66.0,100.0,3.13,US,1611081577.0
belogorsk,50.9158,128.4611,-28.63,86.0,52.0,3.46,RU,1611081624.0
namibe,-15.1961,12.1522,22.61,73.0,100.0,2.89,AO,1611081624.0
byron bay,-28.65,153.6167,23.0,73.0,75.0,6.17,AU,1611081624.0
provideniya,64.3833,-173.3,-23.78,86.0,62.0,2.98,RU,1611081624.0
mae sai,20.4335,99.8762,16.0,94.0,0.0,0.51,TH,1611081625.0
adrar,20.5022,-10.0711,18.45,22.0,0.0,4.8,MR,1611081625.0
havre,49.5833,0.3333,9.0,81.0,90.0,8.23,FR,1611081413.0
katherine,-14.4667,132.2667,25.0,94.0,75.0,3.09,AU,1611081625.0
inyonga,-6.7167,32.0667,19.18,92.0,100.0,1.12,TZ,1611081625.0
kedougou,12.5579,-12.1743,29.63,13.0,46.0,1.5,SN,1611081625.0
seoul,37.5683,126.9778,-8.0,73.0,0.0,1.54,KR,1611080975.0
mumford,5.2618,-0.759,26.9,81.0,11.0,5.04,GH,1611081625.0
darnah,32.767,22.6367,12.2,62.0,0.0,10.31,LY,1611081625.0
kurchum,48.5722,83.6542,-10.27,89.0,100.0,1.47,KZ,1611081625.0
camocim,-2.9022,-40.8411,26.38,83.0,100.0,5.07,BR,1611081334.0
opuwo,-18.0607,13.84,23.18,53.0,92.0,1.85,NA,1611081626.0
beloha,-25.1667,45.05,23.62,79.0,75.0,6.05,MG,1611081626.0
aras,42.5617,-2.356,2.0,93.0,40.0,2.25,ES,1611081626.0
cabo san lucas,22.8909,-109.9124,21.11,60.0,90.0,2.06,MX,1611081626.0
ambon,-3.6954,128.1814,28.33,90.0,100.0,1.95,ID,1611081626.0
narsaq,60.9167,-46.05,7.0,33.0,75.0,6.17,GL,1611081626.0
neuquen,-38.9516,-68.0591,35.0,23.0,0.0,3.09,AR,1611081626.0
nome,64.5011,-165.4064,-19.0,78.0,1.0,9.77,US,1611081626.0
dunedin,-45.8742,170.5036,13.33,53.0,99.0,1.79,NZ,1611081626.0
qasigiannguit,68.8193,-51.1922,-6.0,68.0,75.0,1.03,GL,1611081627.0
huangmei,30.1924,116.025,7.31,56.0,0.0,1.39,CN,1611081627.0
mount gambier,-37.8333,140.7667,6.0,100.0,0.0,2.57,AU,1611081627.0
skovorodino,53.9833,123.9167,-30.36,83.0,100.0,1.74,RU,1611081632.0
iqaluit,63.7506,-68.5145,-1.0,93.0,90.0,3.6,CA,1611081632.0
port hedland,-20.3167,118.5667,29.0,79.0,0.0,3.09,AU,1611081632.0
tavda,58.0425,65.2726,-21.9,88.0,100.0,2.15,RU,1611081632.0
vranjska banja,42.555,21.9922,-6.67,84.0,31.0,1.61,RS,1611081632.0
bismarck,46.8083,-100.7837,-7.78,73.0,90.0,2.06,US,1611081581.0
mailani,28.2833,80.35,14.04,67.0,0.0,3.24,IN,1611081632.0
anadyr,64.75,177.4833,-35.0,68.0,0.0,6.0,RU,1611081629.0
urucara,-2.5364,-57.76,26.56,89.0,99.0,0.89,BR,1611081632.0
inta,66.0317,60.1659,-19.5,92.0,97.0,1.72,RU,1611081633.0
teguldet,57.3064,88.1667,-24.49,88.0,100.0,3.29,RU,1611081633.0
sao sebastiao,-23.76,-45.4097,27.44,73.0,100.0,2.01,BR,1611081633.0
pingliang,35.5392,106.6861,-3.33,89.0,87.0,4.47,CN,1611081633.0
hofn,64.2539,-15.2082,2.94,77.0,0.0,10.87,IS,1611081633.0
waingapu,-9.6567,120.2641,25.53,82.0,100.0,2.8,ID,1611081633.0
castro,-24.7911,-50.0119,21.02,89.0,100.0,4.14,BR,1611081633.0
naze,28.3667,129.4833,14.14,66.0,96.0,4.79,JP,1611081633.0
quelimane,-17.8786,36.8883,26.55,87.0,100.0,1.59,MZ,1611081633.0
buraydah,26.326,43.975,16.0,55.0,0.0,5.66,SA,1611081425.0
leningradskiy,69.3833,178.4167,-27.03,87.0,100.0,6.72,RU,1611081633.0
henties bay,-22.116,14.2845,20.0,87.0,100.0,3.84,NA,1611081633.0
vengerovo,55.6848,76.7471,-28.76,86.0,0.0,1.42,RU,1611081633.0
east london,-33.0153,27.9116,24.0,78.0,40.0,10.8,ZA,1611081634.0
dhamrai,23.9202,90.2109,20.0,88.0,0.0,3.17,BD,1611081634.0
cayenne,4.9333,-52.3333,29.0,61.0,75.0,7.2,GF,1611081503.0
malakal,9.5334,31.6605,25.29,20.0,0.0,3.02,SS,1611081634.0
jalingo,8.8833,11.3667,26.1,17.0,0.0,1.61,NG,1611081634.0
kabanjahe,3.1001,98.4908,24.0,100.0,75.0,2.06,ID,1611081634.0
atasu,48.6814,71.6433,-5.83,93.0,100.0,2.02,KZ,1611081634.0
sayyan,15.1718,44.3244,7.74,43.0,100.0,0.68,YE,1611081634.0
aasiaat,68.7098,-52.8699,-5.73,89.0,100.0,4.81,GL,1611081634.0
katsuura,35.1333,140.3,2.0,41.0,40.0,10.29,JP,1611081634.0
pisco,-13.7,-76.2167,28.0,54.0,0.0,8.23,PE,1611081634.0
timmins,48.4669,-81.3331,-14.0,72.0,90.0,5.66,CA,1611081545.0
aloja,57.7669,24.8825,-12.44,94.0,0.0,2.8,LV,1611081635.0
sorland,67.667,12.6934,2.0,69.0,0.0,9.26,NO,1611081635.0
agadez,19.75,10.25,15.77,28.0,0.0,3.83,NE,1611081635.0
ouadda,8.0777,22.4007,23.05,21.0,0.0,3.22,CF,1611081635.0
comodoro rivadavia,-45.8667,-67.5,26.0,41.0,20.0,6.17,AR,1611081432.0
lavrentiya,65.5833,-171.0,-26.61,82.0,67.0,2.42,RU,1611081635.0
buchanan,5.8808,-10.0467,29.0,79.0,0.0,4.12,LR,1611081635.0
lengshuitan,26.4111,111.5956,9.89,49.0,0.0,0.24,CN,1611081635.0
los llanos de aridane,28.6585,-17.9182,19.0,63.0,40.0,2.04,ES,1611081375.0
beyneu,45.3167,55.2,-5.56,89.0,90.0,4.09,KZ,1611081635.0
vanimo,-2.6741,141.3028,25.3,82.0,100.0,0.15,PG,1611081635.0
charyshskoye,51.3978,83.5598,-10.26,92.0,100.0,0.61,RU,1611081635.0
thyboron,56.6985,8.2124,2.22,97.0,100.0,0.45,DK,1611081635.0
praia,14.9215,-23.5087,24.0,57.0,100.0,7.2,CV,1611081641.0
ust-karsk,52.7011,118.8077,-21.05,88.0,100.0,0.49,RU,1611081641.0
nishihara,26.1842,127.7558,17.0,58.0,40.0,3.6,JP,1611081641.0
namatanai,-3.6667,152.4333,26.13,84.0,74.0,3.28,PG,1611081641.0
filingue,14.3521,3.3168,25.61,16.0,0.0,4.26,NE,1611081641.0
koumac,-20.5667,164.2833,25.96,86.0,100.0,3.1,NC,1611081641.0
gumdag,39.2061,54.5906,6.96,64.0,54.0,6.91,TM,1611081641.0
ancud,-41.8697,-73.8203,22.0,64.0,20.0,4.12,CL,1611081641.0
hervey bay,-25.2986,152.8535,21.67,91.0,100.0,1.34,AU,1611081641.0
dong hoi,17.4833,106.6,16.29,80.0,91.0,1.08,VN,1611081641.0
srednekolymsk,67.45,153.6833,-42.58,79.0,39.0,1.87,RU,1611081641.0
hirara,24.8,125.2833,19.45,74.0,18.0,9.71,JP,1611081642.0
nabire,-3.3667,135.4833,23.73,87.0,100.0,1.33,ID,1611081642.0
tiznit,29.5833,-9.5,13.94,49.0,15.0,1.54,MA,1611081642.0
havoysund,70.9963,24.6622,-4.0,80.0,0.0,3.09,NO,1611081642.0
hovd,48.0056,91.6419,-11.32,77.0,99.0,1.67,MN,1611081642.0
shaunavon,49.6501,-108.4181,-7.0,79.0,100.0,6.17,CA,1611081642.0
tomioka,36.25,138.9,-0.56,68.0,0.0,1.34,JP,1611081642.0
grand gaube,-20.0064,57.6608,27.22,85.0,59.0,4.07,MU,1611081642.0
fasa,28.9383,53.6482,4.0,45.0,0.0,2.06,IR,1611081642.0
tanggu,39.0211,117.6469,-5.0,86.0,75.0,2.0,CN,1611081643.0
pafos,34.7667,32.4167,12.0,54.0,40.0,10.29,CY,1611081643.0
kirkwall,58.9848,-2.9587,3.0,93.0,20.0,3.77,GB,1611081643.0
manjacaze,-24.7117,33.8828,23.89,88.0,54.0,2.66,MZ,1611081643.0
beringovskiy,63.05,179.3167,-28.11,87.0,100.0,7.29,RU,1611081643.0
mugla,37.2303,28.3557,6.0,32.0,0.0,3.09,TR,1611081643.0
guerrero negro,27.9769,-114.0611,20.14,56.0,99.0,8.7,MX,1611081643.0
baherden,38.4362,57.4316,8.81,68.0,0.0,3.9,TM,1611081643.0
sicamous,50.8331,-118.9856,1.11,86.0,97.0,1.03,CA,1611081643.0
tateyama,34.9833,139.8667,1.67,30.0,44.0,1.34,JP,1611081423.0
yulara,-25.2406,130.9889,25.0,19.0,0.0,3.6,AU,1611081643.0
nunkini,20.3333,-90.1833,29.0,58.0,40.0,6.17,MX,1611081643.0
richards bay,-28.783,32.0377,23.76,72.0,0.0,5.45,ZA,1611081643.0
panguipulli,-39.6333,-72.3333,29.0,39.0,0.0,4.63,CL,1611081644.0
chokurdakh,70.6333,147.9167,-38.4,83.0,30.0,2.07,RU,1611081644.0
conde,-7.2597,-34.9075,29.0,65.0,75.0,6.69,BR,1611081644.0
trincomalee,8.5711,81.2335,25.87,85.0,24.0,4.84,LK,1611081644.0
luanda,-8.8368,13.2343,26.0,73.0,20.0,3.09,AO,1611081571.0
touros,-5.1989,-35.4608,28.0,69.0,75.0,6.17,BR,1611081644.0
hurghada,27.2574,33.8129,18.0,34.0,0.0,6.17,EG,1611081644.0
lata,40.1629,-8.3327,12.78,78.0,100.0,0.89,PT,1611081644.0
kamen-rybolov,44.7481,132.0403,-24.46,84.0,9.0,2.71,RU,1611081644.0
khipro,25.8285,69.3772,16.5,28.0,0.0,3.35,PK,1611081649.0
acapulco,16.8634,-99.8901,31.0,51.0,90.0,2.06,MX,1611081649.0
tezu,27.9167,96.1667,14.61,71.0,99.0,1.25,IN,1611081649.0
mandal,25.45,74.5667,15.41,47.0,0.0,2.83,IN,1611081649.0
havre-saint-pierre,50.2334,-63.5986,-9.0,67.0,90.0,7.2,CA,1611081650.0
athens,37.9795,23.7162,5.56,52.0,20.0,2.06,GR,1611081422.0
hamilton,39.1834,-84.5333,6.11,45.0,20.0,4.12,US,1611081198.0
amberley,39.2048,-84.428,6.11,42.0,1.0,4.12,US,1611081650.0
biltine,14.5333,20.9167,21.21,22.0,0.0,6.44,TD,1611081650.0
taoudenni,22.6783,-3.9836,19.25,23.0,0.0,5.96,ML,1611081650.0
temerloh,3.4483,102.4176,20.87,91.0,96.0,0.57,MY,1611081650.0
kavieng,-2.5744,150.7967,27.36,77.0,94.0,5.9,PG,1611081650.0
cidreira,-30.1811,-50.2056,24.26,58.0,0.0,5.39,BR,1611081650.0
termoli,41.9888,14.9895,6.31,71.0,0.0,3.81,IT,1611081650.0
kathmandu,27.7167,85.3167,8.0,87.0,20.0,2.06,NP,1611081542.0
vao,-22.6667,167.4833,25.91,84.0,59.0,1.99,NC,1611081650.0
aykhal,66.0,111.5,-46.81,74.0,100.0,0.98,RU,1611081650.0
biscarrosse,44.3945,-1.1672,7.0,76.0,0.0,1.54,FR,1611081650.0
sakakah,29.9697,40.2064,12.0,37.0,0.0,1.54,SA,1611081651.0
dhidhdhoo,6.8833,73.1,27.42,66.0,0.0,2.54,MV,1611081651.0
shelburne,44.0787,-80.2041,-1.67,90.0,100.0,7.85,CA,1611081651.0
severnyy,50.677,36.5532,-17.0,85.0,75.0,3.0,RU,1611081651.0
uhlirske janovice,49.8802,15.0648,1.67,86.0,90.0,2.06,CZ,1611081651.0
aquiraz,-3.9014,-38.3911,24.0,88.0,75.0,2.06,BR,1611081651.0
keuruu,62.2667,24.7,-2.0,100.0,90.0,2.06,FI,1611081651.0
bandarbeyla,9.4942,50.8122,23.65,76.0,100.0,8.98,SO,1611081651.0
panama city,8.9936,-79.5197,32.22,55.0,20.0,7.2,PA,1611081552.0
chabahar,25.2919,60.643,21.38,72.0,0.0,0.86,IR,1611081651.0
nantucket,41.2835,-70.0995,4.0,56.0,90.0,6.17,US,1611081651.0
kununurra,-15.7667,128.7333,27.0,89.0,100.0,1.54,AU,1611081651.0
porto velho,-8.7619,-63.9039,26.0,89.0,75.0,3.09,BR,1611081401.0
barraute,48.4335,-77.6328,-10.0,79.0,90.0,2.06,CA,1611081652.0
poronaysk,49.2167,143.1167,-24.15,85.0,75.0,2.21,RU,1611081652.0
nagato,34.3833,131.2,3.0,75.0,20.0,1.54,JP,1611081632.0
klaksvik,62.2266,-6.589,2.0,87.0,60.0,4.12,FO,1611081652.0
catamarca,-28.4696,-65.7852,26.67,45.0,15.0,2.24,AR,1611081588.0
pampierstad,-27.7832,24.6877,25.04,60.0,57.0,3.86,ZA,1611081652.0
dosso,13.049,3.1937,24.47,18.0,1.0,4.52,NE,1611081652.0
victoria,22.2855,114.1577,16.67,72.0,59.0,0.45,HK,1611081608.0
isangel,-19.55,169.2667,27.46,78.0,100.0,0.9,VU,1611081652.0
bafoulabe,13.8065,-10.8321,29.05,12.0,0.0,2.04,ML,1611081652.0
najran,17.4924,44.1277,16.0,17.0,0.0,1.03,SA,1611081652.0
noumea,-22.2763,166.4572,27.78,94.0,75.0,1.55,NC,1611081208.0
soyo,-6.1349,12.3689,26.85,77.0,22.0,2.82,AO,1611081652.0
upernavik,72.7868,-56.1549,-9.33,75.0,100.0,3.3,GL,1611081653.0
porto recanati,43.4365,13.6613,6.0,81.0,0.0,2.06,IT,1611081658.0
saint-joseph,-21.3667,55.6167,28.0,74.0,90.0,1.54,RE,1611081658.0
albury,-36.0833,146.9167,15.0,58.0,0.0,3.09,AU,1611081377.0
amga,60.8953,131.9608,-45.42,74.0,8.0,1.09,RU,1611081658.0
natal,-5.795,-35.2094,28.0,74.0,75.0,5.66,BR,1611081658.0
lerwick,60.1545,-1.1494,4.0,87.0,40.0,0.51,GB,1611081658.0
the valley,18.217,-63.0578,28.0,74.0,40.0,7.72,AI,1611081482.0
flinders,-34.5833,150.8552,17.22,85.0,78.0,0.45,AU,1611081658.0
coquimbo,-29.9533,-71.3436,20.0,64.0,0.0,5.14,CL,1611081064.0
jinka,5.65,36.65,22.15,38.0,0.0,0.76,ET,1611081658.0
syracuse,37.0881,15.2792,9.44,76.0,0.0,4.63,IT,1611081417.0
tulun,54.5611,100.5792,-15.51,92.0,97.0,1.08,RU,1611081658.0
hasanabad,36.5465,61.0543,12.3,41.0,0.0,2.53,IR,1611081658.0
muroto,33.2833,134.15,6.5,74.0,4.0,4.9,JP,1611081658.0
lufkin,31.3382,-94.7291,20.0,68.0,90.0,3.09,US,1611081573.0
kita,13.0349,-9.4895,27.73,13.0,0.0,2.22,ML,1611081659.0
souillac,-20.5167,57.5167,27.0,89.0,20.0,1.54,MU,1611081659.0
nitra,48.3076,18.0845,2.22,69.0,0.0,4.63,SK,1611081530.0
menongue,-14.6585,17.691,17.98,85.0,100.0,1.26,AO,1611081659.0
